country_name,country_code,continent,region,population,life_expect,life_satisfaction,undernourishment,obesity,cbn_poverty,electricity,drinking_water_basic,sanitation_basic,clean_cooking_gbd,air_pollution_particles,air_pollution_ozone,uhc_who,dtp3,unmet_contraception,lower_secondary_school,unemployment_ilo,social_support,freedom,voice,stability,alcohol,HIV_unaids_untreated,gdp
Albania,ALB,Europe,Southern Europe,2883033.428571429,78.61842857142857,4.805176803043911,4.857142857142857,21.32051818540288,3.25476233,99.94428580147878,93.36687457714285,97.62695190857143,68.02646672857142,19.53555547,42.46145664,62,98.71428571428571,10.66571428571429,97.21742857142857,15.11857141767229,68.12318563461304,71.07833964484078,0.1324730161577463,0.2677212240440505,6.955,0.06171428571428571,12064.23897136975
Angola,AGO,Africa,Sub-Saharan Africa,28175465.57142857,60.50585714285715,4.030731598536174,14.87142857142857,7.711412946459291,38.85073,39.93224879673547,54.30046495285714,47.36620623857143,52.77065905714286,28.77038113,44.00008704857143,38,57,27.79,71.66933,7.388285841260637,74.29330348968506,41.33750001589457,-1.093810626438686,-0.3781036393983024,7.45,1.445326530612245,7692.294561916839
Argentina,ARG,Americas,Latin America and the Caribbean,43123907.57142857,76.659,6.382605757032122,2.785714285714286,28.17788626203071,3.90921,99.71960013253349,98.909356422,94.481978568,96.90206034285714,13.96883807,35.01021681,74,91,9.274142857142857,128.71198,7.827428613390243,90.64918671335492,80.52276117461068,0.4119501369340079,0.08043420720579368,9.600000000000001,0.164,23651.55378428372
Armenia,ARM,Asia,Western Asia,2876949.428571429,74.32257142857144,4.43913745880127,2.914285714285714,20.12217151300077,30.236665,99.73699515206475,99.48784381857143,92.79563938285715,96.10604854285714,36.78839651571428,52.95365789714285,66.5,93.85714285714286,7.457285714285714,92.01710333333334,17.64714295523507,72.6087612765176,58.51124354771206,-0.5049932152032852,-0.2874616331287793,5.695,0.1214285714285714,11557.18644201279
Australia,AUS,Oceania,Australia and New Zealand,23843575.28571429,82.37038327526133,7.26306813103812,2.5,28.8745877327,0.62428385,100,99.95023455857142,99.99115238,99.54335881428571,6.845058939142857,29.52331856857143,86.5,93.14285714285714,6.784428571428571,118.642325,5.658571447644912,94.01276963097709,92.31746792793274,1.394691773823329,0.982837838785989,10.67,0.02471428571428571,47639.35036965639
Austria,AUT,Europe,Western Europe,8639089.142857144,81.39024390243904,7.237677097320557,2.5,19.96281874052589,0.8713942,100,100.0000008328571,99.97694314142858,99.5899295,13.10841506714286,47.28260462857143,80,91.42857142857143,5.439857142857143,100.7355514285714,5.414285659790039,92.37409830093384,90.13467005320958,1.398761936596462,1.139607506138938,12.015,0.04528571428571428,53548.28174469371
Azerbaijan,AZE,Asia,Western Asia,9635517.285714285,71.54571428571428,5.202060699462891,2.5,19.35905905282582,0.1,100,91.97044323714286,94.44910353857144,91.6092379,26.44889554142857,46.48614851142857,62,94.14285714285714,4.566857142857143,93.07139142857143,4.989999975476946,78.03199802126203,71.19901946612767,-1.481409941400801,-0.6680922337940761,4.495,0.1285714285714286,14423.27298939086
Bangladesh,BGD,Asia,Southern Asia,157882082.4285714,70.72014285714286,4.5741103717259,13.67142857142857,3.34962751797468,36.50519,74.38275909423827,97.09291303571429,46.69196292285714,17.72912481428571,67.34389402428572,61.98257588571428,46.5,97,10.58857142857143,84.646960000000007,4.34742852619716,62.25234355245318,80.45568466186523,-0.5342259960515159,-1.232603549957275,0.02,0.08442857142857144,4384.402739059905
Belarus,BLR,Europe,Eastern Europe,9452398.714285715,73.30905923344949,5.588771820068359,2.5,24.52712360031761,0.73,100,96.59843091857142,97.55749917,98.9809152,18.14322730714286,38.47073834142857,70,97.71428571428571,11.13285714285714,101.1731228571429,5.734428678240096,90.85964475359235,65.16326495579311,-1.440246054104396,0.1144611854106188,11.725,0.2355918367346939,18587.55770089197
Belgium,BEL,Europe,Western Europe,11269032.28571429,81.11149825783973,6.938255310058594,2.5,22.21141644909667,0.2446462,100,99.99999819,99.48613605142857,99.80245775714286,13.33640352857143,39.76269513857143,84.5,98.57142857142857,1.620857142857143,169.53194,7.691428593226841,92.0782847063882,85.81933975219727,1.358678800719125,0.6319928211825234,11.45,0.04528571428571428,49429.45845722984
Belize,BLZ,Americas,Latin America and the Caribbean,359717.8571428572,73.43900000000001,5.955646514892578,7.228571428571429,23.81286207904393,15.7924,92.06822967529297,96.97472113285714,87.21662261,84.75104138571429,21.30408994142857,38.16664159142857,64.5,94.42857142857143,20.46142857142857,93.06914714285715,7.53142854145595,75.69324970245361,87.35690712928772,0.5812486835888454,0.07823644442084644,6.48,0.7719387755102041,9080.902396769068
Benin,BEN,Africa,Sub-Saharan Africa,10952568.85714286,59.38828571428571,4.04647581917899,7.628571428571428,9.146383869132661,32.83358,35.37905475071499,64.77727226428571,14.79564636285714,6.402259757142857,44.10061077,48.42994383714286,37.5,76.14285714285714,26.65142857142857,71.50335749999999,1.97714282785143,49.60812926292419,75.442978313991,0.2678270840219089,0.08098221370684248,2.89,0.5482040816326531,2862.927878231945
Bolivia,BOL,Americas,Latin America and the Caribbean,11089367.28571429,67.32628571428572,5.831637382507324,14.4,19.78014721649067,14.082893,91.12208775111607,90.44616790428572,56.73333872285714,75.47844964285714,27.42748285714286,36.49921793714286,65,86.85714285714286,10.46971428571429,98.26519857142857,2.90142856325422,80.50554139273507,87.1699401310512,-0.04392441062788878,-0.3146106409175056,4.535,0.2254285714285714,7772.961554864178
Botswana,BWA,Africa,Sub-Saharan Africa,2309130.714285714,63.83728571428571,3.888940436499459,20.25714285714286,19.05529500548161,15.697916,62.27115031651088,88.39639288571429,74.51574330142857,56.09577591428571,25.51549735428571,40.94820321142857,53.5,95,8.481142857142856,96.58878333333334,20.51142801557269,81.41350320407322,81.45616820880345,0.447260068995612,1.035483385835375,6.725,5.901510204081634,14208.68797605178
Brazil,BRA,Americas,Latin America and the Caribbean,205125494.1428571,74.35514285714285,6.603835787091937,2.614285714285714,21.84558559533702,7.6788145,99.66511208670478,97.82958487142857,86.02829912,89.37950760000001,12.33586571714286,36.75198120142857,75,92.28571428571429,5.224142857142857,107.7356357142857,9.430000032697405,90.06285752568927,78.11634370258876,0.4408897076334272,-0.2722619037543024,7.640000000000001,0.1828571428571429,15054.8577973404
Bulgaria,BGR,Europe,Eastern Europe,7171676.857142857,74.69233449477353,4.65034784589495,3.271428571428571,24.91873931854047,3.8477215,100,99.19778452571428,85.98307131,78.9981734,20.65010121,43.43569398428571,66.5,92.14285714285714,7.968,89.92777142857143,9.244285787854873,89.31727239063808,65.29331462723869,0.389412705387388,0.2160097964640175,12.495,0.06457142857142857,20208.00540327466
Burkina Faso,BFA,Africa,Sub-Saharan Africa,18734582.85714286,58.79357142857143,4.137285334723336,12.17142857142857,5.012369356963051,33.36609,16.29367297036307,50.14463301428572,19.75705174142857,5.311426057142856,53.37402817142857,43.15018871714286,40,90.42857142857143,24.00285714285715,45.72952571428571,4.308000087738039,73.58085598264422,67.30532986777169,-0.1449763656460813,-0.7983421598161969,11.93,0.4058367346938775,1893.659373224681
Cameroon,CMR,Africa,Sub-Saharan Africa,23022760.42857143,59.58342857142857,4.705014228820801,5.785714285714286,10.93734140456348,23.06639,58.52602876935688,63.95873063142857,42.59806518142857,22.17623708571428,62.16644619428571,44.77149478857143,42,78.71428571428571,16.88,62.43619285714286,3.62428573199681,70.8263235432761,77.74244717189244,-1.024411874158042,-0.9616803101130894,5.91,2.352142857142857,3578.590530379321
Canada,CAN,Americas,Northern America,35808189.42857143,81.84947735191638,7.365882805415563,2.5,29.2774509151422,0.4931834500000001,100,99.22911185142857,99.25503922142858,99.84531984285714,7.173400524571428,38.37005008714286,89,91,6.417142857142857,104.26788,6.764285700661795,93.17330462591988,92.96704871313912,1.454786266599383,1.137412403311048,8.91,0.04528571428571428,47522.18104836241
Central African Republic,CAF,Africa,Sub-Saharan Africa,4884214.142857143,52.35671428571428,3.0844615697860722,44.64285714285715,7.074312400017559,66.963515,12.82830892290387,42.326816782857144,15.97071961571429,0.1277934142857151,45.50839248428571,49.83900550714286,30,40.57142857142857,28.56714285714285,21.24203,5.585999897548133,30.48866540193558,63.46544325351715,-1.247349892343794,-2.084424700055804,2.405,2.702693877551021,863.6439056343971
Chad,TCD,Africa,Sub-Saharan Africa,14155964.42857143,51.61828571428571,4.056872640337263,27.7,5.757879700581046,28.139545,8.906505244118836,44.40814720714286,11.04436511142857,3.36299687142857,58.79688857,44.47690159857143,28.5,40.71428571428572,24.7,25.83799,1.072142856461662,67.50577347619193,55.46715813023703,-1.369299650192261,-1.250027137143271,1.41,0.803265306122449,1730.840420472163
Chile,CHL,Americas,Latin America and the Caribbean,17937547.71428571,79.73471428571428,6.578809533800397,3,27.98009802948276,4.095501000000001,99.85926273890904,99.47552474714286,99.21283648142857,92.79355251428572,22.66762900714286,34.94127009857143,77.5,93.57142857142857,7.373714285714286,103.26591,6.709999970027378,85.96640314374652,74.33775237628392,1.03769246169499,0.4047724306583405,9.165,0.2188775510204082,24337.11082933633
China,CHN,Asia,Eastern Asia,1379416428.571429,76.93542857142857,5.19870798928397,2.5,5.800275484855253,15.11919,99.99405343191964,91.70617905285714,84.36944605,55.76385667142857,55.63649026571429,50.69155470714286,78.5,99,3.491714285714286,100.29408,4.521428721291678,78.30221993582589,84.649358689785,-1.581913352012634,-0.4551267219441277,7.1,0.07428571428571427,12673.29813140737
Colombia,COL,Americas,Latin America and the Caribbean,47296087,76.227,6.313194411141532,7.385714285714286,22.09003491792976,8.907952,98.02706146240234,96.31758772714285,89.02790465714286,88.04824767142857,23.05349174571429,30.51895112571428,76.5,91.14285714285714,5.567142857142857,104.2197771428571,8.90428556714739,89.63677031653268,82.63453160013471,0.03045246776725565,-1.047088810375759,5.76,0.2828571428571429,13953.35396756878
"Congo, Dem. Rep.",COD,Africa,Sub-Saharan Africa,78850284,58.60214285714286,4.381119132041931,35.64285714285715,6.324895858269857,75.26,16.18686866760254,42.72761657857143,17.41945645857143,4.822113828571426,37.73282218714286,44.41956168714286,36,71,24.30142857142857,56.5005225,4.469857215881347,78.71270974477132,58.48582834005356,-1.415895632335118,-2.177072933741978,2.025,0.6896326530612243,995.7681020937158
"Congo, Rep.",COG,Africa,Sub-Saharan Africa,5070113.714285715,63.22642857142857,4.444976329803467,27.94285714285714,9.25161137199542,37.977515,44.49667031424389,71.01928045857143,18.88647570714286,31.68811638571428,39.71595916142857,40.34640399571428,39.5,79.28571428571429,17.53428571428571,68.512705,20.42600005013603,64.5978331565857,75.32181569508144,-1.125358104705811,-0.464256478207452,8.585,2.829224489795918,4703.590140025341
Costa Rica,CRI,Americas,Latin America and the Caribbean,4892491.285714285,79.26657142857142,7.147602149418423,4.1,25.21718063605909,4.218141999999999,99.51941462925504,99.31841320857143,97.02679185714285,93.02794877142857,18.25202780714286,33.22452421,75.5,93.71428571428571,9.343285714285715,132.3527314285714,8.997143064226423,89.92901699883598,91.58435974802289,1.114970070975167,0.6164974697998592,4.815,0.1984489795918368,19073.83220004888
Cote d'Ivoire,CIV,Africa,Sub-Saharan Africa,23661128.85714286,57.60928571428571,4.433904767036438,7.928571428571429,10.06288953810232,20.27,62.6728548322405,71.07572988714286,30.67984013857143,15.72885332857143,55.54881706,39.54524064,44,80.42857142857143,25.08857142857143,54.44221333333333,3.926142794745309,67.05355246861775,75.55315295855205,-0.4701280423573085,-1.011196766580854,2.66,1.722448979591837,4319.355050278427
Cyprus,CYP,Asia,Western Asia,1187576.285714286,80.85914285714286,5.831265381404331,2.5,21.87034443687278,0,100,99.78848849571429,99.46206154142857,99.71689497142857,15.97130021,50.99007054857143,78,98.14285714285714,2.680714285714286,99.86813428571429,13.00571428026473,78.3089143889291,72.65863844326564,1.023271458489554,0.5621549912861415,10.785,0.047,36033.703125
Czechia,CZE,Europe,Eastern Europe,10555308.71428571,78.66968641114983,6.668987546648298,2.5,26.16163009245186,0.22224795,100,99.87759989,99.13534038428571,98.19674,17.71046312142857,46.34264054571429,77,97.14285714285714,7.099285714285714,100.8841657142857,4.881428616387502,90.72105288505554,79.24151079995292,0.9632334879466465,1.016599774360657,14.35,0.064,36240.83204012103
Denmark,DNK,Europe,Northern Europe,5688584,80.66620209059234,7.561538696289063,2.5,19.61538991836177,0.2488203,100,99.99999861857142,99.59722945714286,99.819434314285715,10.27293455828571,39.46870332571429,83.5,94.85714285714286,2.037142857142857,117.85136,6.477142878941126,95.67087462970188,93.928227254322593,1.576938220432827,0.9151649475097656,10.31,0.02185714285714286,53336.71732485254
Dominican Republic,DOM,Americas,Latin America and the Caribbean,10402321,72.90414285714286,5.2135910987854,7.614285714285715,27.00021677806751,7.0055765,98.72632162911552,96.00172860142857,84.86642133714285,90.0296113,17.53668598,35.29531692714286,63.5,86,9.951714285714287,89.46047142857142,6.767142840794153,88.46430097307477,86.91440309797015,0.1483754036681993,0.1827216063226972,6.645,0.6897755102040816,15157.07450681686
Ecuador,ECU,Americas,Latin America and the Caribbean,16216138.42857143,76.66728571428571,5.996116501944406,9.614285714285714,19.59917803539994,10.12646,98.51879228864397,92.96648774,86.38166490428571,92.80778274285714,20.37293364,30.99688686714286,77,84,6.671714285714286,109.9665585714286,3.625714233943394,83.08490259306771,81.81252479553223,-0.1976632370912869,-0.1658488269895315,4.59,0.1891632653061225,11726.96813628742
"Egypt, Arab Rep.",EGY,Africa,Northern Africa,97606938.57142857,70.64971428571428,4.271689142499651,4.442857142857143,31.4743075444505,5.665128865,99.80719866071429,99.10354055285714,95.81000461571429,99.80620817142857,70.25634011142857,53.03485405714286,63.5,94.42857142857143,7.582571428571429,95.68048666666667,12.26714284079416,70.94853179795402,58.46459737845829,-1.138769941670554,-1.463608026504517,0.38,0.08214285714285713,10104.35687430858
El Salvador,SLV,Americas,Latin America and the Caribbean,6225861.285714285,72.00757142857142,6.122113840920584,10.04285714285714,23.93354946112171,8.8694645,95.5784432547433,95.25001490285715,83.07006328428572,79.98683412857143,24.52067834,40.17243584,73.5,89.71428571428571,7.303,96.03137333333333,4.07142860548837,80.91647795268467,76.15278278078351,0.08745506073215177,-0.0839550822441067,3.74,0.2899591836734694,8299.343723642125
Estonia,EST,Europe,Northern Europe,1317970.857142857,77.43867595818816,5.656519821711949,2.5,21.3997986345389,2.49,100,99.66596983,99.15650124571428,88.68903144285714,6.839147714857143,36.85157475142857,76,93.14285714285714,5.928,106.30455,7.154285839625773,91.87575663839068,80.40774634906224,1.169676440102713,0.670990594795772,10.81,0.1487142857142857,31552.29671350353
Eswatini,SWZ,Africa,Sub-Saharan Africa,1134843.714285714,54.765,4.211565017700195,13.24285714285714,15.98900445317645,54.61712,64.5409905569894,66.7592742257143,60.69708241,38.09371632857142,23.14862706571429,38.96917896857143,55.5,93,11.83714285714286,83.037862,23.60842841012137,77.92697548866272,70.9973692893982,-1.359996455056327,-0.4207858187811716,9.94,10.35383673469388,8054.154573478808
Ethiopia,ETH,Africa,Sub-Saharan Africa,102624989,63.58742857142857,4.420460564749582,16.58571428571429,4.170458237723135,43.17928000000001,35.41582788739886,42.04235501857143,7.480982090285714,3.14427187142857,34.25381155714285,40.51858018142857,37,63.71428571428572,17.73142857142857,42.94135,2.282571452004567,67.42482696260724,74.01511413710458,-1.314981647900173,-1.484063131468637,2.275,0.4482040816326531,1747.007772953401
Finland,FIN,Europe,Northern Europe,5473289.714285715,81.29407665505228,7.571934904370989,2.5,22.23922581122645,0.1228138,100,99.99999858142857,99.44795169,99.69080365714287,5.827539861714286,35.56745969,83.5,94.85714285714286,1.676,101.75051,8.391428538731166,94.97639281409127,93.5839695589883,1.561141048158918,1.156725261892591,10.98,0.03363775510204081,46165.09062593032
France,FRA,Europe,Western Europe,66475048.57142857,82.43623693379791,6.559616361345563,2.5,21.61975904008309,0,100,99.99779323285715,98.65158883714285,99.73141735714286,12.23619394285714,43.37912182714285,83.5,97.28571428571429,4.838428571428572,101.1705685714286,9.7771429334368,90.79846824918475,82.5239190033504,1.188221863337926,0.2319763893527644,12.485,0.063,43642.61993066339
"Gambia, The",GMB,Africa,Sub-Saharan Africa,2253048.428571429,62.57442857142857,4.520019054412842,11.04285714285714,9.896556062220128,14.951555,54.5215791974749,79.20729779571428,46.32733115285714,3.410864014285716,58.00178405428571,41.05347431142857,45.5,95.42857142857143,20.41,62.31554857142857,9.471714292253766,69.09007430076599,76.55273079872131,-1.054256556289537,-0.1105833731292348,3.61,1.43,1937.65782415493
Germany,DEU,Europe,Western Europe,81664570.28571428,80.80522648083624,6.965041569301061,2.5,22.29312904156603,0.226796,100,99.99999967285714,99.22491224428572,99.84418068571429,12.56363,42.20897288857143,84.5,92.42857142857143,5.479428571428572,98.46499714285714,4.494285719735283,91.98954105377197,88.21423053741455,1.412306462015424,0.7412823012896946,12.985,0.02264285714285714,51459.13810390711
Ghana,GHA,Africa,Sub-Saharan Africa,28871266,63.24942857142857,4.695428235190255,6.971428571428572,10.20763474332733,9.9547125,74.04126358032225,80.16279773142857,19.09453179285714,23.40811342857143,54.22661953857143,44.42345238,41.5,93.85714285714286,24.09142857142857,83.40620142857144,5.638714245387486,68.24927755764553,76.4719946043832,0.5081422286374229,-0.001745302230119707,2.935,1.311469387755102,4710.703373278366
Greece,GRC,Europe,Southern Europe,10855292.85714286,81.25783972125436,5.150787353515625,2.5,24.89490661491541,0.9980012,100,99.99357595285714,98.92724159285714,99.28728851428572,15.60854653428571,48.49832100857143,76,99,2.896285714285714,99.72797714285714,23.94571440560477,78.78507460866656,45.48345931938717,0.6739541292190552,-0.1126452407666615,10.335,0.0877142857142857,28358.54097309248
Guatemala,GTM,Americas,Latin America and the Caribbean,15565959.42857143,72.12714285714286,6.307423251015799,16.88571428571429,20.49005836222664,15.7881875,90.03542327880858,92.13433004,66.65962877,45.43565314285714,29.70610685857143,35.63385382,56.5,85,9.886714285714286,68.67338714285714,2.618571417672293,82.39209055900574,87.83215965543475,-0.3341899939945766,-0.6214601993560791,2.5,0.1508571428571429,8055.326167355559
Honduras,HND,Americas,Latin America and the Caribbean,9293695,72.36242857142857,5.256186212812151,13.82857142857143,20.83065999240249,16.2275615,88.44686998639789,93.24587676428571,78.97692669714286,46.57897790000001,25.25146669857143,36.14002951571429,60,95.71428571428571,8.848857142857144,64.53441,5.791428634098597,79.68681624957493,74.99255027089801,-0.454979487827846,-0.4743933337075369,3.625,0.1821224489795918,5222.159312333567
Hungary,HUN,Europe,Eastern Europe,9842927.57142857,75.70104529616725,5.36749758039202,2.5,26.2959229570034,0.34469835,100,99.97875223571428,97.99539725428572,78.69952268571429,17.13226833285714,45.57371058142857,70.5,99,5.157,99.60501714285714,6.957142898014616,88.62502745219639,60.04143783024379,0.573886615889413,0.7281515768596104,11.475,0.07314285714285715,27572.65030826365
Iceland,ISL,Europe,Northern Europe,333463,82.57630662020907,7.515274715423584,2.5,21.89293371954239,0.2404906,100,100.00000041,98.78307834,99.72584887142857,5.841888350571429,36.68430459714286,85.5,90.42857142857143,2.049285714285714,99.33696,4.097142900739398,97.5617253780365,93.17480325698853,1.389896052224295,1.314803940909249,8.93,0.02171428571428571,52617.60537410505
India,IND,Asia,Southern Asia,1322509659.714286,69.47871428571429,4.27967871938433,14.21428571428572,3.63965785698768,28.27298,87.2592239379883,88.12996208857143,56.71737418285714,34.09548968571428,88.08659611428571,61.98472436,56,86.28571428571429,9.990857142857143,86.33728714285715,5.402857031141007,59.33356710842678,79.0352497782026,0.4076305329799652,-1.024363466671535,5.54,0.1575918367346938,5450.400466025275
Indonesia,IDN,Asia,South-eastern Asia,258890888.7142857,69.64871428571429,5.267887115478516,7.285714285714286,6.381007751096583,31.49501,97.32594735281809,88.51034799428571,73.64000394714286,60.28692978571429,19.67474924285714,37.10705817428571,53,86.42857142857143,9.243142857142857,93.65704428571429,4.278571537562779,81.9783798285893,80.34548674310956,0.1280566262347358,-0.5087394416332245,0.585,0.311734693877551,10165.34605121087
"Iran, Islamic Rep.",IRN,Asia,Southern Asia,81566394.42857143,75.18671428571429,4.689759799412319,5.142857142857143,25.38644051135869,0.06302834,99.90332576206754,96.79976385,88.34678858571428,99.50635632857143,40.12576099142857,55.75196961142857,71.5,98.71428571428571,3.770428571428571,95.69602,11.6800000326974,63.34284033094134,73.55854511260986,-1.468559673854283,-1.067046880722046,1.02,0.08757142857142858,14566.50299919988
Ireland,IRL,Europe,Northern Europe,4716155,81.51602787456447,6.948065349033901,2.5,24.95224339823312,0.6016972,100,97.37171886285715,91.06072146857143,99.7036621,8.323857658285714,31.11871650428571,82,95.14285714285714,3.119285714285714,107.6872714285714,10.25285693577356,95.38785474640983,89.16107075554984,1.308053612709045,0.9535658700125558,12.675,0.05542857142857142,67142.49195452117
Israel,ISR,Asia,Western Asia,8386842.857142857,82.24668989547038,7.189803600311279,2.5,26.38510333116367,0.7736205,100,99.99999956571429,99.97333989,99.76008344285714,21.25090367285715,53.85682662285714,83.5,95.71428571428571,2.845,105.3631685714286,5.318571431296212,89.72611938204084,73.50336228098188,0.6959356154714312,-0.986999980040959,4.035,0.06071428571428572,37680.58511524396
Italy,ITA,Europe,Southern Europe,60411336.28571428,82.87142857142858,6.056125368390765,2.5,20.02526663806188,1.373145,100,99.90601444285714,99.88545912142857,99.48691737142858,17.17931132,51.67822082285714,81.5,95,2.857428571428572,105.8689428571429,11.55571406228203,90.74755311012268,59.63078311511448,0.9834334850311279,0.4080603037561689,7.715,0.07251020408163263,40911.56563045099
Japan,JPN,Asia,Eastern Asia,127192857.1428571,83.72933797909408,5.912683691297259,2.5,4.076291712247579,1.706053,100,98.92280548428572,99.94282362,99.70410834285714,13.42824314285714,46.92643353571428,83.5,97.28571428571429,10.34428571428571,101.6484383333333,3.380000012261526,90.28354798044477,81.47039072854179,1.029557057789394,1.020784744194576,7.915,0.07428571428571427,40337.00621373999
Jordan,JOR,Asia,Western Asia,9099835.857142856,75.03128571428572,5.108552115304129,7.385714285714285,35.5515971760541,0.09040253000000001,99.81527600969586,99.00145291142857,97.47111288,99.9167168,33.44944977428571,56.06174990285714,60.5,98,8.064,71.46330166666667,14.49571418762207,82.15148619243077,74.0094678742545,-0.7457446455955505,-0.5155647652489799,0.69,0.06071428571428572,10415.57942600437
Kazakhstan,KAZ,Asia,Central Asia,17538145,71.72285714285714,5.848369189671107,2.5,20.57968954341932,1.75,100,94.98294841428572,97.72762783571429,86.69710224285714,21.43669537571429,44.28943657857143,72,95.57142857142857,9.677571428571428,111.1563528571429,5.027142797197614,89.79899542672294,78.9893090724945,-1.204448614801679,-0.1168451275942581,4.71,0.1225714285714286,24241.10607251826
